ID,Priority,Week,Workstream,Category,Task,How To (Steps),Deliverable / Definition of Done,Owner,Status,Start Date,Due Date,Completion %,Dependencies,Links / Assets,Notes
T001,High,Week 1,Ads,Tracking,Set up Google Ads conversion tracking (Calls + Forms),"Create conversions: call from ads, call from website, form submit; import into Ads; verify with test conversions",Conversions firing correctly in Google Ads + GA4; test call click + form submit,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T002,High,Week 1,Ads,Tracking,Set up call tracking + call reporting,Implement call tracking solution; enable call reporting; ensure number swaps on landing pages,Calls attributed to campaigns; call duration captured; test call recorded (if enabled),Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T003,High,Week 1,Ads,Landing Pages,Build Landing Page #1: Flood Restoration Auckland (Elementor),Follow Elementor Build Guide; mobile-first; fast load; strong CTA; trust badges; FAQs,Page published + passes mobile test; call button works; <3s load on mobile,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T004,High,Week 1,CRO,Conversion,Add sticky mobile call bar + click-to-call tracking,Add sticky call bar; track click-to-call as GA4 event and Ads conversion,Sticky bar live; event firing; shows in GA4 DebugView,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T005,High,Week 1,Ads,Campaigns,Launch Emergency Search campaign (call-heavy),Create tight ad groups; use exact/phrase; set location Auckland; extensions; call assets,Campaign live; ads approved; search terms monitored daily,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T006,High,Week 1,Ads,Keywords,Build master negative keyword list,"Add negatives: jobs, salary, course, diy, meaning, equipment hire, rental, free, etc.; update weekly",Negatives applied account-wide; low-intent searches reduced,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T007,High,Week 1,SEO,Technical,Core Web Vitals + speed quick wins,"Compress images to WebP, caching, lazy load, minimise scripts; re-test",CWV improved; page load target <3s mobile; Lighthouse improvements recorded,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T008,High,Week 1,SEO,On-Page,Rewrite Flood service page for Auckland intent,Update title/meta/H1; add FAQs; add suburbs; improve internal links,Updated page published; includes primary + secondary keywords; FAQ block added,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T009,High,Week 1,Ops,Process,Implement call handling script (AI + staff) + training,Add script to AI agent / staff SOP; run roleplay; define escalation for emergencies,Team/AI follows script; missed-call callback rule defined; log fields agreed,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T010,Medium,Week 1,Ops,Reporting,Set up weekly KPI routine + dashboard usage,"Use Data Entry + Dashboard; schedule Monday 30-min review; define KPIs (CPCall, CPJob, ROAS)",Weekly cadence established; baseline KPIs entered,Usama Nizamani,Not Started,2026-02-16,2026-02-22,0,,,
T011,High,Week 2,Landing Pages,Landing Pages,Build Landing Page #2: Emergency Water Damage,Clone LP1; tailor copy for water damage; keep CTA + trust; add FAQs,Page published; tracking verified,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T012,High,Week 2,Landing Pages,Landing Pages,Build Landing Page #3: 24/7 Flood Response,Create urgency-focused page; response time promise; proof; CTA,Page published; tracking verified,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T013,High,Week 2,Landing Pages,Landing Pages,Build Landing Page #4: Insurance Restoration / Claims,Create insurance-focused page; documentation; process; CTA,Page published; tracking verified,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T014,High,Week 2,Ads,Campaigns,Launch Insurance campaign (separate),Build insurance ad groups; tighter keywords; dedicated LP4,Campaign live; conversions tracked,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T015,High,Week 2,Ads,Targeting,Split campaigns by Auckland zones (West/South/Central/North Shore),Duplicate campaigns or use location groups; tailor ads per zone,Zone campaigns live; location reporting clean,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T016,High,Week 2,SEO,Local SEO,Create Areas We Serve hub page + internal links,Create hub page listing regions/suburbs; link to suburb pages and services,Hub published; internal link structure in place,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T017,High,Week 2,SEO,Local SEO,Create first 5 suburb pages (unique content + map + FAQs),Use suburb template; avoid duplication; add NAP + map; link to service pages,5 suburb pages live; indexed request in GSC,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T018,High,Week 2,SEO,On-Page,Rewrite Fire/Mould/Meth service pages for Auckland intent,"Update titles/metas, headings, FAQs, CTA, internal links",3 pages updated and published,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T019,High,Week 2,Local SEO,GBP,Optimise Google Business Profile fully,"Update categories, services, areas; add Q&A; add description; ensure NAP consistency",GBP complete; shows updated services and areas,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T020,Medium,Week 2,SEO,Schema,Add FAQ schema to top service pages + main landing page,Implement FAQPage schema; validate in Rich Results Test,No schema errors; eligible for rich results,Usama Nizamani,Not Started,2026-02-23,2026-03-01,0,,,
T021,High,Week 3,Ads,Optimisation,Keyword pruning + search term review (every 3 days),Review search terms; add negatives; pause low intent; shift budget to winners,Waste reduced; CPCall improves week-on-week,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T022,High,Week 3,Ads,Creatives,Create 3 ad variations per ad group (A/B),Write 3 RSAs per ad group; test speed/trust/insurance angles,At least 2 active ads per group; CTR improves,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T023,Medium,Week 3,Ads,Remarketing,Launch remarketing campaign,Set remarketing audience; run display remarketing or PMax remarketing only; exclude converters,Remarketing live; low CPC; incremental calls/forms,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T024,High,Week 3,SEO,Local SEO,Create 5 more suburb pages,Publish 5 additional unique suburb pages; internal link to services,10 suburb pages total live; indexing requested,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T025,Medium,Week 3,Content,Blog,"Publish 2 high-intent blogs (flood steps, cost guide)","Write with FAQs, internal links, CTA; target Auckland terms",2 blogs published; linked to service + landing pages,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
T026,Medium,Week 3,Content,Case Studies,Publish 2 case studies with before/after + outcome,Problem → process → outcome; add photos; link to related service,2 case studies live; used as proof on landing pages,Usama Nizamani,Not Started,2026-03-02,2026-03-08,0,,,
